date,capacity,price,product
06.03.2022,6,163,Red Plus
06.03.2022,8,223,Red Plus
06.03.2022,10,289,Red Plus
06.03.2022,12,339,Red Plus
06.03.2022,14,399,Red Plus
07.03.2022,4,86,IronWolf
07.03.2022,6,144,IronWolf
07.03.2022,8,189,IronWolf
07.03.2022,10,279,IronWolf
07.03.2022,12,279,IronWolf
07.03.2022,16,,IronWolf
07.03.2022,4,99,Red Plus
07.03.2022,6,163,Red Plus
07.03.2022,8,223,Red Plus
07.03.2022,10,289,Red Plus
07.03.2022,12,339,Red Plus
07.03.2022,14,399,Red Plus
08.03.2022,4,86,IronWolf
08.03.2022,6,144,IronWolf
08.03.2022,8,189,IronWolf
08.03.2022,10,279,IronWolf
08.03.2022,12,279,IronWolf
08.03.2022,16,,IronWolf
08.03.2022,4,99,Red Plus
08.03.2022,6,163,Red Plus
08.03.2022,8,223,Red Plus
08.03.2022,10,269,Red Plus
08.03.2022,12,323,Red Plus
08.03.2022,14,399,Red Plus
09.03.2022,4,86,IronWolf
09.03.2022,6,144,IronWolf
09.03.2022,8,189,IronWolf
09.03.2022,10,272,IronWolf
09.03.2022,12,279,IronWolf
09.03.2022,16,,IronWolf
09.03.2022,4,99,Red Plus
09.03.2022,6,163,Red Plus
09.03.2022,8,223,Red Plus
09.03.2022,10,277,Red Plus
09.03.2022,12,323,Red Plus
09.03.2022,14,349,Red Plus
10.03.2022,4,86,IronWolf
10.03.2022,6,144,IronWolf
10.03.2022,8,189,IronWolf
10.03.2022,10,272,IronWolf
10.03.2022,12,279,IronWolf
10.03.2022,16,,IronWolf
10.03.2022,4,99,Red Plus
10.03.2022,6,163,Red Plus
10.03.2022,8,223,Red Plus
10.03.2022,10,278,Red Plus
10.03.2022,12,321,Red Plus
10.03.2022,14,349,Red Plus
11.03.2022,4,86,IronWolf
11.03.2022,6,144,IronWolf
11.03.2022,8,189,IronWolf
11.03.2022,10,313,IronWolf
11.03.2022,12,279,IronWolf
11.03.2022,16,,IronWolf
11.03.2022,4,99,Red Plus
11.03.2022,6,163,Red Plus
11.03.2022,8,223,Red Plus
11.03.2022,10,286,Red Plus
11.03.2022,12,323,Red Plus
11.03.2022,14,349,Red Plus
12.03.2022,4,86,IronWolf
12.03.2022,6,144,IronWolf
12.03.2022,8,189,IronWolf
12.03.2022,10,313,IronWolf
12.03.2022,12,279,IronWolf
12.03.2022,16,,IronWolf
12.03.2022,4,99,Red Plus
12.03.2022,6,155,Red Plus
12.03.2022,8,223,Red Plus
12.03.2022,10,286,Red Plus
12.03.2022,12,323,Red Plus
12.03.2022,14,349,Red Plus
13.03.2022,4,98,IronWolf
13.03.2022,6,166,IronWolf
13.03.2022,8,225,IronWolf
13.03.2022,10,307,IronWolf
13.03.2022,12,319,IronWolf
13.03.2022,16,,IronWolf
13.03.2022,4,99,Red Plus
13.03.2022,6,155,Red Plus
13.03.2022,8,223,Red Plus
13.03.2022,10,286,Red Plus
13.03.2022,12,352,Red Plus
13.03.2022,14,349,Red Plus
14.03.2022,4,98,IronWolf
14.03.2022,6,166,IronWolf
14.03.2022,8,225,IronWolf
14.03.2022,10,313,IronWolf
14.03.2022,12,319,IronWolf
14.03.2022,16,,IronWolf
14.03.2022,4,95.70,Red Plus
14.03.2022,6,155,Red Plus
14.03.2022,8,223,Red Plus
14.03.2022,10,286,Red Plus
14.03.2022,12,352,Red Plus
14.03.2022,14,349,Red Plus
15.03.2022,4,98,IronWolf
15.03.2022,6,166,IronWolf
15.03.2022,8,225,IronWolf
15.03.2022,10,313,IronWolf
15.03.2022,12,319,IronWolf
15.03.2022,16,,IronWolf
15.03.2022,4,95.70,Red Plus
15.03.2022,6,155,Red Plus
15.03.2022,8,223,Red Plus
15.03.2022,10,286,Red Plus
15.03.2022,12,352,Red Plus
15.03.2022,14,349,Red Plus
16.03.2022,4,98,IronWolf
16.03.2022,6,159,IronWolf
16.03.2022,8,199,IronWolf
16.03.2022,10,313,IronWolf
16.03.2022,12,308,IronWolf
16.03.2022,16,,IronWolf
16.03.2022,4,95.70,Red Plus
16.03.2022,6,155,Red Plus
16.03.2022,8,223,Red Plus
16.03.2022,10,286,Red Plus
16.03.2022,12,352,Red Plus
16.03.2022,14,349,Red Plus
17.03.2022,4,98,IronWolf
17.03.2022,6,159,IronWolf
17.03.2022,8,199,IronWolf
17.03.2022,10,313,IronWolf
17.03.2022,12,308,IronWolf
17.03.2022,16,,IronWolf
17.03.2022,4,95.70,Red Plus
17.03.2022,6,155,Red Plus
17.03.2022,8,223,Red Plus
17.03.2022,10,286,Red Plus
17.03.2022,12,355,Red Plus
17.03.2022,14,349,Red Plus
18.03.2022,4,98,IronWolf
18.03.2022,6,159,IronWolf
18.03.2022,8,199,IronWolf
18.03.2022,10,313,IronWolf
18.03.2022,12,305,IronWolf
18.03.2022,16,,IronWolf
18.03.2022,4,97,Red Plus
18.03.2022,6,155,Red Plus
18.03.2022,8,223,Red Plus
18.03.2022,10,286,Red Plus
18.03.2022,12,356,Red Plus
18.03.2022,14,349,Red Plus
19.03.2022,4,98,IronWolf
19.03.2022,6,159,IronWolf
19.03.2022,8,199,IronWolf
19.03.2022,10,313,IronWolf
19.03.2022,12,305,IronWolf
19.03.2022,16,,IronWolf
19.03.2022,4,97,Red Plus
19.03.2022,6,155,Red Plus
19.03.2022,8,223,Red Plus
19.03.2022,10,286,Red Plus
19.03.2022,12,357,Red Plus
19.03.2022,14,349,Red Plus
20.03.2022,4,98,IronWolf
20.03.2022,6,180,IronWolf
20.03.2022,8,215,IronWolf
20.03.2022,10,317,IronWolf
20.03.2022,12,305,IronWolf
20.03.2022,16,,IronWolf
20.03.2022,4,97,Red Plus
20.03.2022,6,155,Red Plus
20.03.2022,8,223,Red Plus
20.03.2022,10,286,Red Plus
20.03.2022,12,359,Red Plus
20.03.2022,14,349,Red Plus
21.03.2022,4,98,IronWolf
21.03.2022,6,180,IronWolf
21.03.2022,8,215,IronWolf
21.03.2022,10,323,IronWolf
21.03.2022,12,305,IronWolf
21.03.2022,16,,IronWolf
21.03.2022,4,97,Red Plus
21.03.2022,6,155,Red Plus
21.03.2022,8,223,Red Plus
21.03.2022,10,286,Red Plus
21.03.2022,12,359,Red Plus
21.03.2022,14,349,Red Plus
22.03.2022,4,98,IronWolf
22.03.2022,6,194,IronWolf
22.03.2022,8,215,IronWolf
22.03.2022,10,323,IronWolf
22.03.2022,12,305,IronWolf
22.03.2022,16,,IronWolf
22.03.2022,4,97,Red Plus
22.03.2022,6,155,Red Plus
22.03.2022,8,223,Red Plus
22.03.2022,10,286,Red Plus
22.03.2022,12,359,Red Plus
22.03.2022,14,349,Red Plus
23.03.2022,4,98,IronWolf
23.03.2022,6,194,IronWolf
23.03.2022,8,215,IronWolf
23.03.2022,10,323,IronWolf
23.03.2022,12,305,IronWolf
23.03.2022,16,,IronWolf
23.03.2022,4,97,Red Plus
23.03.2022,6,155,Red Plus
23.03.2022,8,223,Red Plus
23.03.2022,10,286,Red Plus
23.03.2022,12,344,Red Plus
23.03.2022,14,349,Red Plus
24.03.2022,4,98,IronWolf
24.03.2022,6,168,IronWolf
24.03.2022,8,215,IronWolf
24.03.2022,10,289,IronWolf
24.03.2022,12,305,IronWolf
24.03.2022,16,,IronWolf
24.03.2022,4,97,Red Plus
24.03.2022,6,154,Red Plus
24.03.2022,8,223,Red Plus
24.03.2022,10,282,Red Plus
24.03.2022,12,328,Red Plus
24.03.2022,14,359,Red Plus
25.03.2022,4,93,IronWolf
25.03.2022,6,168,IronWolf
25.03.2022,8,209,IronWolf
25.03.2022,10,267,IronWolf
25.03.2022,12,305,IronWolf
25.03.2022,16,,IronWolf
25.03.2022,4,97,Red Plus
25.03.2022,6,158,Red Plus
25.03.2022,8,223,Red Plus
25.03.2022,10,282,Red Plus
25.03.2022,12,328,Red Plus
25.03.2022,14,359,Red Plus
26.03.2022,4,93,IronWolf
26.03.2022,6,167,IronWolf
26.03.2022,8,209,IronWolf
26.03.2022,10,267,IronWolf
26.03.2022,12,305,IronWolf
26.03.2022,16,,IronWolf
26.03.2022,4,97,Red Plus
26.03.2022,6,158,Red Plus
26.03.2022,8,223,Red Plus
26.03.2022,10,281,Red Plus
26.03.2022,12,327,Red Plus
26.03.2022,14,359,Red Plus
27.03.2022,4,93,IronWolf
27.03.2022,6,166,IronWolf
27.03.2022,8,209,IronWolf
27.03.2022,10,267,IronWolf
27.03.2022,12,305,IronWolf
27.03.2022,16,,IronWolf
27.03.2022,4,97,Red Plus
27.03.2022,6,158,Red Plus
27.03.2022,8,223,Red Plus
27.03.2022,10,281,Red Plus
27.03.2022,12,322,Red Plus
27.03.2022,14,359,Red Plus
28.03.2022,4,93,IronWolf
28.03.2022,6,166,IronWolf
28.03.2022,8,209,IronWolf
28.03.2022,10,267,IronWolf
28.03.2022,12,305,IronWolf
28.03.2022,16,,IronWolf
28.03.2022,4,97,Red Plus
28.03.2022,6,158,Red Plus
28.03.2022,8,223,Red Plus
28.03.2022,10,281,Red Plus
28.03.2022,12,322,Red Plus
28.03.2022,14,359,Red Plus
29.03.2022,4,93,IronWolf
29.03.2022,6,165,IronWolf
29.03.2022,8,209,IronWolf
29.03.2022,10,267,IronWolf
29.03.2022,12,305,IronWolf
29.03.2022,16,,IronWolf
29.03.2022,4,97,Red Plus
29.03.2022,6,158,Red Plus
29.03.2022,8,223,Red Plus
29.03.2022,10,281,Red Plus
29.03.2022,12,322,Red Plus
29.03.2022,14,359,Red Plus
30.03.2022,4,93,IronWolf
30.03.2022,6,165,IronWolf
30.03.2022,8,209,IronWolf
30.03.2022,10,267,IronWolf
30.03.2022,12,305,IronWolf
30.03.2022,16,,IronWolf
30.03.2022,4,97,Red Plus
30.03.2022,6,158,Red Plus
30.03.2022,8,223,Red Plus
30.03.2022,10,277,Red Plus
30.03.2022,12,321,Red Plus
30.03.2022,14,359,Red Plus
31.03.2022,4,92,IronWolf
31.03.2022,6,166,IronWolf
31.03.2022,8,209,IronWolf
31.03.2022,10,275,IronWolf
31.03.2022,12,315,IronWolf
31.03.2022,16,,IronWolf
31.03.2022,4,99,Red Plus
31.03.2022,6,158,Red Plus
31.03.2022,8,223,Red Plus
31.03.2022,10,268,Red Plus
31.03.2022,12,309,Red Plus
31.03.2022,14,359,Red Plus
01.04.2022,4,92,IronWolf
01.04.2022,6,166,IronWolf
01.04.2022,8,209,IronWolf
01.04.2022,10,275,IronWolf
01.04.2022,12,315,IronWolf
01.04.2022,16,,IronWolf
01.04.2022,4,99,Red Plus
01.04.2022,6,158,Red Plus
01.04.2022,8,189,Red Plus
01.04.2022,10,268,Red Plus
01.04.2022,12,309,Red Plus
01.04.2022,14,359,Red Plus
02.04.2022,4,92,IronWolf
02.04.2022,6,166,IronWolf
02.04.2022,8,209,IronWolf
02.04.2022,10,275,IronWolf
02.04.2022,12,315,IronWolf
02.04.2022,16,,IronWolf
02.04.2022,4,99,Red Plus
02.04.2022,6,158,Red Plus
02.04.2022,8,223,Red Plus
02.04.2022,10,268,Red Plus
02.04.2022,12,309,Red Plus
02.04.2022,14,359,Red Plus
03.04.2022,4,92,IronWolf
03.04.2022,6,166,IronWolf
